,GFA,Site GFA,Stories,Length,Width,Site L,Site W,Type,Solar Roof Area,Height
R1,9405,864.084375,12,55.99107072,13.99776768,58.79062425,14.69765606,1,783.75,144
R2,3135,864.084375,4,55.99107072,13.99776768,58.79062425,14.69765606,1,783.75,48
R3,392,216.09,2,28,7,29.4,7.35,1,196,24
R4,223,245.8575,1,14.93318452,14.93318452,15.67984375,15.67984375,1,223,12
O1,46320,4255.65,12,76.09204952,50.72803301,79.89665199,53.26443466,2,3860,144
O2,4982,1830.885,3,49.90991885,33.27327924,52.4054148,34.9369432,2,1660.666667,36
O3,511,563.3775,1,27.6857364,18.4571576,29.07002322,19.38001548,2,511,12
C1,2090,2304.225,1,91.43303561,22.8582589,96.00468739,24.00117185,3,2090,12
C2,2294,2529.135,1,54.60952298,42.00732537,57.33999913,44.10769164,3,2294,12
C3,511,563.3775,1,22.60530911,22.60530911,23.73557457,23.73557457,3,511,12
C4,232,255.78,1,15.23154621,15.23154621,15.99312352,15.99312352,3,232,12
C5,4181,4609.5525,1,79.1928027,52.7952018,83.15244284,55.43496189,3,4181,12
I1,4835,5330.5875,1,103.1358328,46.87992398,108.2926244,49.22392018,4,4835,12
L1,11345,2084.64375,6,84.76536242,22.30667432,89.00363054,23.42200804,5,1890.833333,72
L2,4013,1106.083125,4,54.86118847,18.28706282,57.60424789,19.20141596,5,1003.25,48
H1,22422,4944.051,5,76.3526031,58.73277161,80.17023325,61.6694102,6,4484.4,60
H2,3804,1397.97,3,42.13312236,30.0950874,44.23977848,31.59984177,6,1268,36
E1,19592,21600.18,1,171.4292857,114.2861905,180.00075,120.0005,7,19592,12
E2,6871,3787.63875,2,71.78614072,47.85742715,75.37544776,50.25029851,7,3435.5,24
M1,9405,864.084375,12,55.99107072,13.99776768,58.79062425,14.69765606,8,783.75,144
M2,46320,4255.65,12,76.09204952,50.72803301,79.89665199,53.26443466,8,3860,144
