Buy Price (Avg Price ($/kWh) from energyonline.com),Sell Price (Avg Price ($/kWh) from energyonline.com),Emissions (lb CO2e/kWh) from beyondefficiency,Demand Charge
3.88E-02,3.10E-02,0.570829706,14.71
5.31E-02,4.25E-02,0.551500876,14.71
4.02E-02,3.22E-02,0.545690079,14.71
3.77E-02,3.02E-02,0.551468423,14.71
4.02E-02,3.22E-02,0.534623299,14.71
3.07E-02,2.46E-02,0.552742797,14.71
4.35E-02,3.48E-02,0.528460921,14.71
4.29E-02,3.43E-02,0.530215375,14.71
3.04E-02,2.43E-02,0.493981219,14.71
2.45E-02,1.96E-02,0.434230368,14.71
2.11E-02,1.69E-02,0.431866697,14.71
2.31E-02,1.85E-02,0.442826526,14.71
2.14E-02,1.71E-02,0.452147582,14.71
2.07E-02,1.66E-02,0.459582946,14.71
3.80E-02,3.04E-02,0.475967657,14.71
2.42E-02,1.94E-02,0.516392788,14.71
2.36E-02,1.89E-02,0.59286791,14.71
2.87E-02,2.30E-02,0.606679801,14.71
3.28E-02,2.62E-02,0.593504392,14.71
6.24E-02,4.99E-02,0.599272669,14.71
3.70E-02,2.96E-02,0.610028275,14.71
4.09E-02,3.27E-02,0.603256337,14.71
3.65E-02,2.92E-02,0.60449,14.71
3.13E-02,2.50E-02,0.610662708,14.71
3.10E-02,2.48E-02,0.603423319,14.71
3.12E-02,2.50E-02,0.582333305,14.71
2.80E-02,2.24E-02,0.564336438,14.71
2.56E-02,2.05E-02,0.559811321,14.71
2.85E-02,2.28E-02,0.574610593,14.71
2.42E-02,1.94E-02,0.570399946,14.71
2.65E-02,2.12E-02,0.551398555,14.71
2.96E-02,2.37E-02,0.538615455,14.71
4.87E-02,3.90E-02,0.519981833,14.71
5.11E-02,4.09E-02,0.516172136,14.71
3.22E-02,2.58E-02,0.517738187,14.71
3.05E-02,2.44E-02,0.497946477,14.71
2.98E-02,2.38E-02,0.48234692,14.71
2.65E-02,2.12E-02,0.510787502,14.71
3.07E-02,2.46E-02,0.501129277,14.71
2.80E-02,2.24E-02,0.54432079,14.71
3.07E-02,2.46E-02,0.571039372,14.71
3.79E-02,3.03E-02,0.577417031,14.71
3.41E-02,2.73E-02,0.563292622,14.71
4.85E-02,3.88E-02,0.580441636,14.71
4.14E-02,3.31E-02,0.592086386,14.71
4.37E-02,3.50E-02,0.584460923,14.71
3.56E-02,2.85E-02,0.60272311,14.71
3.83E-02,3.06E-02,0.604178645,14.71
4.24E-02,3.39E-02,0.576812211,14.71
4.14E-02,3.31E-02,0.569590736,14.71
4.14E-02,3.31E-02,0.542904744,14.71
3.82E-02,3.06E-02,0.5441456,14.71
4.25E-02,3.40E-02,0.534312328,14.71
3.53E-02,2.82E-02,0.533455993,14.71
3.18E-02,2.54E-02,0.523421844,14.71
4.27E-02,3.42E-02,0.523178785,14.71
5.29E-02,4.23E-02,0.507533779,14.71
6.08E-02,4.86E-02,0.505751895,14.71
4.29E-02,3.43E-02,0.471935456,14.71
4.28E-02,3.42E-02,0.45826791,14.71
4.76E-02,3.81E-02,0.467730493,14.71
9.90E-01,7.92E-01,0.495816374,14.71
5.62E-02,4.50E-02,0.530524531,14.71
4.16E-02,3.33E-02,0.555792631,14.71
3.64E-02,2.91E-02,0.564636797,14.71
4.71E-02,3.77E-02,0.573733101,14.71
4.27E-02,3.42E-02,0.567310116,14.71
5.65E-02,4.52E-02,0.571491496,14.71
5.49E-02,4.39E-02,0.578119096,14.71
4.91E-02,3.93E-02,0.572481699,14.71
4.60E-02,3.68E-02,0.564363793,14.71
3.63E-02,2.90E-02,0.583687323,14.71
4.40E-02,3.52E-02,0.566495335,14.71
4.36E-02,3.49E-02,0.545673017,14.71
4.48E-02,3.58E-02,0.537169862,14.71
4.28E-02,3.42E-02,0.556669445,14.71
3.79E-02,3.03E-02,0.555676022,14.71
3.14E-02,2.51E-02,0.575733488,14.71
4.15E-02,3.32E-02,0.594715193,14.71
4.30E-02,3.44E-02,0.603122325,14.71
3.46E-02,2.77E-02,0.608454633,14.71
3.93E-02,3.14E-02,0.620477125,14.71
2.78E-02,2.22E-02,0.620186806,14.71
3.23E-02,2.58E-02,0.598766954,14.71
3.42E-02,2.74E-02,0.588375183,14.71
2.55E-02,2.04E-02,0.603589763,14.71
2.30E-02,1.84E-02,0.605650741,14.71
2.28E-02,1.82E-02,0.608491563,14.71
2.74E-02,2.19E-02,0.630157433,14.71
3.86E-02,3.09E-02,0.608539946,14.71
6.50E-02,5.20E-02,0.590360257,14.71
5.52E-02,4.42E-02,0.58891027,14.71
4.91E-02,3.93E-02,0.602729357,14.71
5.53E-02,4.42E-02,0.599877237,14.71
4.39E-02,3.51E-02,0.597287087,14.71
4.24E-02,3.39E-02,0.58538684,14.71
3.03E-02,2.42E-02,0.571966225,14.71
2.70E-02,2.16E-02,0.589106569,14.71
3.14E-02,2.51E-02,0.567434791,14.71
2.86E-02,2.29E-02,0.562370904,14.71
2.58E-02,2.06E-02,0.55551848,14.71
2.69E-02,2.15E-02,0.582126842,14.71
3.27E-02,2.62E-02,0.582829958,14.71
2.97E-02,2.38E-02,0.598570822,14.71
3.10E-02,2.48E-02,0.602198978,14.71
9.89E-06,7.91E-06,0.620709411,14.71
2.01E-02,1.61E-02,0.623922506,14.71
2.25E-02,1.80E-02,0.613756466,14.71
2.01E-02,1.61E-02,0.604564067,14.71
2.16E-02,1.73E-02,0.616947013,14.71
2.38E-02,1.90E-02,0.616953418,14.71
1.03E-02,8.24E-03,0.588515872,14.71
2.87E-02,2.30E-02,0.564884784,14.71
2.90E-02,2.32E-02,0.573360138,14.71
3.04E-02,2.43E-02,0.563643406,14.71
9.26E-01,7.41E-01,0.567862254,14.71
5.98E-02,4.78E-02,0.57399241,14.71
4.92E-02,3.94E-02,0.562648621,14.71
3.43E-02,2.74E-02,0.541195163,14.71
4.43E-02,3.54E-02,0.515893885,14.71
2.41E-02,1.93E-02,0.529424172,14.71
4.00E-02,3.20E-02,0.487554925,14.71
4.24E-02,3.39E-02,0.475581968,14.71
2.99E-02,2.39E-02,0.483672502,14.71
3.36E-02,2.69E-02,0.492894913,14.71
1.81E-02,1.45E-02,0.521957501,14.71
1.90E-02,1.52E-02,0.53907785,14.71
2.55E-02,2.04E-02,0.532772675,14.71
3.28E-02,2.62E-02,0.521160213,14.71
2.57E-02,2.06E-02,0.52131651,14.71
2.22E-02,1.78E-02,0.529947128,14.71
2.61E-02,2.09E-02,0.52999717,14.71
1.97E-02,1.58E-02,0.538571923,14.71
1.55E-02,1.24E-02,0.580423949,14.71
1.55E-02,1.24E-02,0.578665743,14.71
3.84E-02,3.07E-02,0.598194736,14.71
1.44E-02,1.15E-02,0.62916236,14.71
2.10E-02,1.68E-02,0.622121564,14.71
2.17E-02,1.74E-02,0.60806273,14.71
2.36E-02,1.89E-02,0.6078836,14.71
2.38E-02,1.90E-02,0.611866536,14.71
3.30E-02,2.64E-02,0.596517208,14.71
2.56E-02,2.05E-02,0.595887456,14.71
2.55E-02,2.04E-02,0.584011557,14.71
2.95E-02,2.36E-02,0.595795147,14.71
2.56E-02,2.05E-02,0.567827116,14.71
2.38E-02,1.90E-02,0.561358268,14.71
4.39E-02,3.51E-02,0.558533134,14.71
3.07E-02,2.46E-02,0.556757967,14.71
2.60E-02,2.08E-02,0.539006725,14.71
2.73E-02,2.18E-02,0.548779049,14.71
3.44E-02,2.75E-02,0.544430933,14.71
3.43E-02,2.74E-02,0.529227168,14.71
2.13E-02,1.70E-02,0.532907331,14.71
2.15E-02,1.72E-02,0.486079506,14.71
2.19E-02,1.75E-02,0.452078625,14.71
2.25E-02,1.80E-02,0.439291595,14.71
2.15E-02,1.72E-02,0.442263217,14.71
2.43E-02,1.94E-02,0.448334337,14.71
2.21E-02,1.77E-02,0.472482812,14.71
2.29E-02,1.83E-02,0.524996371,14.71
2.74E-02,2.19E-02,0.536140252,14.71
3.26E-02,2.61E-02,0.541096587,14.71
4.82E-02,3.86E-02,0.534968065,14.71
4.01E-02,3.21E-02,0.531926805,14.71
4.26E-02,3.41E-02,0.524903445,14.71
3.73E-02,2.98E-02,0.501986481,14.71
2.97E-02,2.38E-02,0.487867752,14.71
2.72E-02,2.18E-02,0.540836612,14.71
2.69E-02,2.15E-02,0.525726019,14.71
2.55E-02,2.04E-02,0.514307576,14.71
2.59E-02,2.07E-02,0.509309979,14.71
2.56E-02,2.05E-02,0.5292586,14.71
2.33E-02,1.86E-02,0.523783288,14.71
2.32E-02,1.86E-02,0.513051868,14.71
3.11E-02,2.49E-02,0.51309581,14.71
4.10E-02,3.28E-02,0.484066755,14.71
4.09E-02,3.27E-02,0.47768288,14.71
4.35E-02,3.48E-02,0.464513182,14.71
2.92E-02,2.34E-02,0.463431111,14.71
3.52E-02,2.82E-02,0.472425309,14.71
1.23E-01,9.84E-02,0.472095994,14.71
6.00E-02,4.80E-02,0.490873333,14.71
3.20E-02,2.56E-02,0.511826154,14.71
2.75E-02,2.20E-02,0.594368874,14.71
3.44E-02,2.75E-02,0.588794949,14.71
2.63E-02,2.10E-02,0.596432997,14.71
3.47E-02,2.78E-02,0.587665437,14.71
2.82E-02,2.26E-02,0.598532022,14.71
2.88E-02,2.30E-02,0.6010103,14.71
2.97E-02,2.38E-02,0.602793486,14.71
2.02E-02,1.62E-02,0.597817419,14.71
2.76E-02,2.21E-02,0.562208168,14.71
1.96E-02,1.57E-02,0.545187123,14.71
1.87E-02,1.50E-02,0.541553717,14.71
1.89E-02,1.51E-02,0.547750392,14.71
1.79E-02,1.43E-02,0.540928194,14.71
1.62E-02,1.30E-02,0.529509891,14.71
2.00E-02,1.60E-02,0.509349602,14.71
2.18E-02,1.74E-02,0.517227835,14.71
6.79E-02,5.43E-02,0.499609737,14.71
4.20E-02,3.36E-02,0.484323717,14.71
1.48E-01,1.18E-01,0.470351847,14.71
2.20E-02,1.76E-02,0.470274203,14.71
2.40E-02,1.92E-02,0.504899021,14.71
2.57E-02,2.06E-02,0.50663512,14.71
2.34E-02,1.87E-02,0.518670463,14.71
4.40E-02,3.52E-02,0.521425248,14.71
2.01E-02,1.61E-02,0.544228417,14.71
2.66E-02,2.13E-02,0.567236952,14.71
2.85E-02,2.28E-02,0.569173573,14.71
2.63E-02,2.10E-02,0.567143686,14.71
2.42E-02,1.94E-02,0.555345541,14.71
1.89E-02,1.51E-02,0.538037686,14.71
7.33E-03,5.86E-03,0.549650297,14.71
1.46E-02,1.17E-02,0.536463643,14.71
9.04E-03,7.23E-03,0.524978881,14.71
1.12E-02,8.96E-03,0.517481404,14.71
1.35E-02,1.08E-02,0.490624074,14.71
1.33E-02,1.06E-02,0.49120086,14.71
