Hourly Dry Bulb (deg C),Hourly Wet Bulb (deg C),Hourly Direct Normal Irradiance (W/m2),Hourly Diffuse Horizontal Irradiance (W/m2),Hourly Global Horizontal Irradiance (W/m2),Hourly Albedo,Hourly Wind Speed (m/s)
7.2,7.488608622,0,0,0,0.16,0
7.2,8.27115825,0,0,0,0.16,2.1
6.7,8.466607783,0,0,0,0.16,2.1
6.1,8.139438217,0,0,0,0.16,1.5
4.4,7.618453217,0,0,0,0.16,3.1
4.4,7.051190433,0,0,0,0.16,2.1
6.1,6.673879217,0,0,0,0.16,0
5,5.481456967,69,1,2,0.16,0
7.8,5.375507717,477,39,121,0.16,0
8.9,6.619776111,651,71,276,0.16,0
9.4,7.448877411,677,104,387,0.16,1.5
10,7.473665361,542,159,419,0.16,1.5
10.6,8.149534206,532,156,417,0.16,1.5
11.1,8.117315706,543,152,397,0.16,0
13.9,8.730003439,643,117,352,0.16,0
13.9,9.708030122,449,97,204,0.16,3.1
11.1,9.524250267,0,0,0,0.16,3.1
11.1,7.9947308,0,0,0,0.16,1.5
10.6,7.254241194,0,0,0,0.16,1.5
10.6,7.280944056,0,0,0,0.16,2.1
8.9,6.936237289,0,0,0,0.16,2.1
9.4,6.771092494,0,0,0,0.16,2.1
7.8,6.771092494,0,0,0,0.16,1.5
6.7,6.716893439,0,0,0,0.16,2.6
8.9,6.069607272,0,0,0,0.16,2.1
6.1,5.378951772,0,0,0,0.16,0
5.6,4.439199211,0,0,0,0.16,0
3.9,4.291587433,0,0,0,0.16,0
5.6,5.393178372,0,0,0,0.16,1.5
7.2,5.928906889,0,0,0,0.16,3.1
7.8,5.343119139,0,0,0,0.16,4.1
7.2,4.992376278,72,1,2,0.16,5.7
10.6,6.514315394,402,45,114,0.16,6.2
11.7,7.456393622,590,85,271,0.16,5.2
13.9,8.036380222,490,144,349,0.16,3.6
13.9,8.537068589,667,133,453,0.16,4.1
13.9,8.781635878,708,119,466,0.16,0
13.9,9.488013933,395,191,370,0.16,2.1
12.2,9.507073,508,127,313,0.16,2.1
12.8,9.37634145,410,103,202,0.16,3.1
11.1,8.440506544,0,0,0,0.16,4.1
