,R1,R2,R3,R4,O1,O2,O3,C1,C2,C3,C4,C5,I1,L1,L2,H1,H2,E1,E2,M1,M2
Avg (gal/d),13464.44,4488.15,586.71,333.76,19943.38,2145.03,220.01,724.39,1007.45,5800.00,1933.33,1449.13,484.00,13896.87,4915.66,32702.72,1744.30,8414.38,2950.96,12686.60,19976.62
Jan,0.97,1.01,0.98,0.98,0.53,0.53,0.53,0.97,0.97,0.88,0.88,0.97,0.53,0.94,0.94,0.80,0.80,1.25,1.25,0.97,0.53
Feb,0.92,0.93,0.90,0.90,0.55,0.55,0.55,0.78,0.78,0.71,0.71,0.78,0.55,0.99,0.99,0.75,0.75,1.11,1.11,0.92,0.55
Mar,0.84,0.88,0.85,0.85,0.97,0.97,0.97,0.93,0.93,0.70,0.70,0.93,0.97,1.14,1.14,1.00,1.00,1.09,1.09,0.84,0.97
Apr,0.94,0.97,0.94,0.94,0.79,0.79,0.79,0.93,0.93,0.74,0.74,0.93,0.79,1.06,1.06,0.99,0.99,1.03,1.03,0.94,0.79
May,0.89,0.93,0.92,0.92,1.16,1.16,1.16,1.03,1.03,0.93,0.93,1.03,1.16,1.05,1.05,1.13,1.13,1.29,1.29,0.89,1.16
Jun,1.00,1.03,1.04,1.04,1.60,1.60,1.60,1.11,1.11,0.85,0.85,1.11,1.60,1.03,1.03,1.09,1.09,0.55,0.55,1.00,1.60
Jul,1.14,1.10,1.14,1.14,0.92,0.92,0.92,1.16,1.16,1.26,1.26,1.16,0.92,1.04,1.04,1.14,1.14,0.53,0.53,1.14,0.92
Aug,1.05,0.99,1.04,1.04,1.47,1.47,1.47,1.10,1.10,1.30,1.30,1.10,1.47,1.00,1.00,1.11,1.11,0.44,0.44,1.05,1.47
Sep,1.15,1.14,1.19,1.19,1.62,1.62,1.62,0.98,0.98,1.45,1.45,0.98,1.62,0.95,0.95,1.12,1.12,1.16,1.16,1.15,1.62
Oct,1.08,1.02,1.04,1.04,0.73,0.73,0.73,0.97,0.97,1.39,1.39,0.97,0.73,0.96,0.96,1.07,1.07,1.28,1.28,1.08,0.73
Nov,1.02,1.03,1.02,1.02,1.14,1.14,1.14,1.04,1.04,1.01,1.01,1.04,1.14,0.95,0.95,0.90,0.90,1.17,1.17,1.02,1.14
Dec,0.99,0.96,0.95,0.95,0.51,0.51,0.51,0.99,0.99,0.78,0.78,0.99,0.51,0.90,0.90,0.89,0.89,1.10,1.10,0.99,0.51
0,0.03,0.03,0.02,0.02,0.05,0.05,0.05,0.01,0.01,0.02,0.02,0.03,0.05,0.03,0.03,0.03,0.03,0.05,0.05,0.03,0.05
1,0.02,0.02,0.01,0.01,0.05,0.05,0.05,0.03,0.03,0.05,0.05,0.03,0.05,0.03,0.03,0.03,0.03,0.05,0.05,0.02,0.05
2,0.01,0.01,0.01,0.01,0.06,0.06,0.06,0.02,0.02,0.01,0.01,0.03,0.06,0.02,0.02,0.02,0.02,0.04,0.04,0.01,0.06
3,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.03,0.03,0.04,0.04,0.06,0.05,0.02,0.02,0.02,0.02,0.05,0.05,0.01,0.05
4,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.02,0.02,0.03,0.03,0.06,0.04,0.02,0.02,0.03,0.03,0.04,0.04,0.01,0.04
5,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.05,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.02,0.03
6,0.04,0.04,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03
